round,train_loss,train_accuracy,val_loss,val_accuracy,precision,recall,macro_f1,weighted_f1
1,1.4978702357127027,42.15017064846416,1.4022937680854173,48.36065573770492,0.17547892720306515,0.21113595706618962,0.15372005044136192,0.3398796849482149
2,1.3363666458394519,50.580204778157,1.3110749298106126,48.63387978142077,0.20599231754161332,0.21153846153846154,0.1514198498473723,0.33640824780007417
3,1.2522091668425865,51.160409556313994,1.2553527518048313,49.18032786885246,0.20467236467236466,0.21538461538461537,0.15843951347269308,0.34730908317939596
4,1.2057800775466536,53.003412969283275,1.2134284354298492,51.63934426229508,0.20924401197604786,0.2326923076923077,0.1859683794466403,0.3905267932352751
5,1.1677784003937595,55.358361774744026,1.1756519202977582,56.01092896174863,0.21582417582417582,0.26346153846153847,0.2235610543302851,0.45274943635599374
