round,train_loss,train_accuracy,val_loss,val_accuracy,precision,recall,macro_f1,weighted_f1
1,1.620019691962307,23.515358361774744,1.548861237822986,37.43169398907104,0.24178172704488493,0.23129951443904934,0.23089376377047607,0.39530669196063317
2,1.5865783983989963,31.67235494880546,1.5167623986311949,46.72131147540984,0.3277122877122877,0.3097572195246614,0.3101122415036957,0.4977487211290451
3,1.5658707392146738,42.389078498293514,1.4676888829371968,56.284153005464475,0.37182558955264156,0.35937388193202147,0.3555127923143187,0.568819737089677
4,1.5291593593276738,52.1160409556314,1.4314874052349986,58.46994535519126,0.3863486722905886,0.34925957763167065,0.3522055121426232,0.5809320377724474
5,1.5099995708196696,56.3481228668942,1.3936584080503287,63.387978142076506,0.43700853821526636,0.40410322235903634,0.4107439938273562,0.6247180791429363
