round,train_loss,train_accuracy,val_loss,val_accuracy,precision,recall,macro_f1,weighted_f1
1,1.6075686121255817,35.11945392491467,1.5262350762476686,44.26229508196721,0.32354624226016415,0.36689728875775385,0.30585063970092224,0.4144872330860371
2,1.5682652857452566,41.67235494880546,1.4961424095383107,49.18032786885246,0.35746689298566553,0.38816787863299496,0.3517073550521975,0.4979510565521307
3,1.5390073405049431,50.85324232081911,1.4579332760774373,54.37158469945356,0.3765532819558862,0.40632901981739195,0.37239486297269675,0.5490404849753409
4,1.5197792744739136,53.003412969283275,1.4178656626268815,57.103825136612016,0.40171364371519924,0.4357822410147992,0.402538687323049,0.5706077465187516
5,1.490042758260394,56.86006825938566,1.3783826554407839,58.46994535519126,0.40576942734373994,0.43544234834932516,0.4057419899426396,0.5813234520617585
